track_id,danceability,energy,valence,tempo,loudness,acousticness
2lFlveK1y13WWp3vnQtrr3,0.643,0.569,0.275,120.507,-7.459,0.544
2WD93lsfJonaKtrQtpLB2R,0.573,0.624,0.529,161.025,-9.076,0.471
7njTGO45SkaBTNu35t2Yq0,0.654,0.821,0.613,111.958,-5.472,0.00666
6ivkBaxvclVhwZDE2uwldj,0.426,0.399,0.217,115.979,-8.447,0.761
6Cvti10W0AzmzG9D1tpuKp,0.505,0.21,0.323,80.721,-11.349,0.907
03yc0G2OoH1Eeyu7Piy8fK,0.693,0.43,0.731,151.001,-9.395,0.565
5RO0MNa5hBKIM4OcjygadU,0.739,0.287,0.557,80.64,-14.007,0.969
78TKtlSLWK8pZAKKW3MyQL,0.453,0.146,0.0915,137.905,-8.976,0.867
1esE8j1nVyzEQ5rVhYXoJT,0.606,0.54,0.249,79.952,-6.271,0.182
68Yc9ylRZZPtsuVgtrxcDj,0.595,0.646,0.563,120.049,-5.495,0.11
3tjjCCdXSdaVEo4q4y071G,0.736,0.145,0.235,129.832,-9.215,0.855
3tob5ofeuvFKKSbOTldenC,0.479,0.126,0.279,96.327,-13.974,0.966
4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,0.573,123.055,-3.142,0.0208
3uAdZpIbMTtVXitHVibLMV,0.549,0.291,0.376,75.153,-13.457,0.858
2LC523tbEPFpc1pnikbt5b,0.418,0.489,0.398,72.891,-8.373,0.287
3ISLwA96mtx13Wx7K1PPPk,0.498,0.12,0.338,121.187,-17.721,0.851
7Ca2CkwSqHyr3eCh8IRdjz,0.769,0.135,0.471,103.939,-12.049,0.986
6ql0ffq6Jvyh9OKqrJCMaP,0.434,0.469,0.0568,136.282,-7.849,0.52
1EyvonxK8OGHRV4WDRdArc,0.452,0.198,0.217,119.499,-9.374,0.931
0EKBV6GybPtALXUgWqWrym,0.544,0.5,0.177,93.621,-8.253,0.0325
41A82PidFKhGX5hm1WoaDs,0.662,0.187,0.233,104.988,-9.003,0.969
5oV8bZaShr2d01FFMHBUPq,0.497,0.13,0.179,130.769,-15.571,0.841
5nMRpGfqQ0tb1TMbqBVK2J,0.528,0.291,0.355,76.805,-9.696,0.914
04qDUASuSfVp6fktfsxVej,0.461,0.522,0.446,157.768,-7.513,0.36
3g61xRaqII8q1wlQDzv550,0.483,0.506,0.705,87.337,-6.058,0.394
3dglCYsVMjPbDlU2CC9Vq7,0.392,0.423,0.288,113.537,-7.813,0.27
2f4jlGvGi3ZDGogXys5FUp,0.42,0.2,0.164,87.248,-18.827,0.929
3NCg46FWgnANZc9HQHQOQR,0.657,0.716,0.435,93.924,-5.675,0.014
0muntSMuAZzcwYBBMZj6sf,0.495,0.185,0.196,101.89,-13.824,0.692
4bXoVtbp6fN8FaSQvGQB41,0.55,0.499,0.144,86.966,-9.502,0.472
3FRARAKLpHw3er9ZaTwaHO,0.534,0.359,0.267,131.804,-9.311,0.449
2Dzhwe90lhHXVU6lk7Nx0H,0.378,0.52,0.357,73.744,-10.965,0.777
12niARgkwxGsklcEwh6GlG,0.606,0.349,0.156,80.071,-13.967,0.764
0v0pc1lIt5p6EBX7pnfOGF,0.486,0.555,0.0992,77.987,-9.466,0.818
5wQci5VCUjdbKnRD61XYwu,0.577,0.446,0.262,81.005,-11.343,0.554
0HQnJee8ShSDu2AYwibxst,0.59,0.407,0.276,145.852,-9.079,0.861
4VoJCUgNmnqG2qF0peDBkw,0.538,0.315,0.4,91.921,-10.057,0.96
7xLhousIHDxoGgeJNhO4Ye,0.447,0.158,0.142,140.942,-7.571,0.872
1bhpBRCLsVg3p7BWARbaDS,0.401,0.58,0.526,173.277,-6.86,0.906
6NSlOEEtWlqvEFrjQsry77,0.502,0.311,0.4,107.612,-13.421,0.617
1HqVCK9h4LiJ61aRrrKTAt,0.678,0.612,0.857,118.381,-9.764,0.1
0wP19iM8ULJyV0r0LFDsDv,0.65,0.406,0.862,79.642,-13.492,0.568
27Fq4XyOkogdGLcfsVdjFb,0.649,0.399,0.342,97.498,-7.894,0.184
45jGOHwYKgsRYbAJ8DR61d,0.523,0.445,0.336,78.957,-6.359,0.188
4iObEYRE4FLm0D90gmZFef,0.538,0.162,0.366,94.981,-13.31,0.847
3akr0ZrJxLMBLIFeNNKffW,0.519,0.429,0.396,129.491,-7.707,0.658
7BRwh1bemr9rFMDeTbcy5S,0.585,0.103,0.179,133.057,-12.682,0.801
3rzRo91l4htQvMXhsiECAX,0.578,0.763,0.394,96.808,-4.824,0.0916
0v1vufjir4OE4iRckLMoLd,0.223,0.891,0.333,159.888,-3.626,0.325
4vAnqYqm1DOo5IDVcxORX3,0.382,0.157,0.224,136.11,-16.157,0.878
2X5AFygz5SDYlXagyPw8kX,0.642,0.374,0.0979,129.863,-10.606,0.423
13GvSZgg9LOs3M9uGbWsPE,0.436,0.239,0.137,73.761,-12.83,0.861
4cR4nao0hqqBtklQmGVqbe,0.702,0.326,0.628,79.904,-6.638,0.705
4x7AdVDV9IFWp8pg4LMz90,0.593,0.292,0.375,111.121,-12.755,0.828
5eNYumDY5PCXtKKJ0SWg2r,0.285,0.186,0.203,153.848,-12.729,0.76
6dwkFmLUz6hx2CZG2EqLol,0.636,0.625,0.342,93.931,-7.895,0.222
7aohwSiTDju51QmC54AUba,0.698,0.285,0.53,135.027,-7.632,0.927
7g3ryXLtXExZ0OFCj17Ae1,0.601,0.439,0.275,99.976,-7.589,0.0642
